SymbolID,SymbolTypeID,SymbolValue,ExchangeID,ObjectID,SymbolStartDate,SymbolEndDate,ActiveFlag,PrimaryFlag,ProcessType
114904312,7291,598309,NULL,60049205,NULL,05/01/2018,0,1,U
142460568,7291,155397,NULL,60175289,NULL,10/03/2019,0,1,U
144516822,7291,1292780,NULL,60281514,NULL,05/02/2018,0,1,U
113840058,7291,4375280,NULL,60440179,NULL,10/17/2019,0,1,U
95525955,7291,145988,NULL,60801631,10/12/1987,09/01/2016,0,0,U
184133956,7291,27172017,NULL,60887361,NULL,11/12/2020,0,1,U
187043537,8279,121116707,NULL,60887361,01/29/2015,11/12/2020,0,1,U
106714811,7291,898060,NULL,60936093,08/25/1999,07/07/2021,0,0,U
144638575,7291,1408753,NULL,60936100,04/12/2002,03/04/2021,0,0,U
107528272,7291,3898507,NULL,61140863,NULL,07/20/2016,0,1,U
101607681,7291,18206483,NULL,61374266,NULL,01/22/2018,0,1,U
96662403,7291,1516980,NULL,61570509,11/11/2002,05/03/2018,0,0,U
99249938,7291,10510781,NULL,62503399,NULL,06/15/2018,0,1,U
175923517,7291,26044504,NULL,82391666,NULL,02/09/2020,0,1,U
156113223,7291,10798611,NULL,82488387,NULL,05/04/2022,0,1,U
217534091,8038,A0YJFR,NULL,82488387,NULL,05/04/2022,0,1,U
156113229,8279,48604471,NULL,82488387,11/20/2008,05/04/2022,0,1,U
114510347,7291,13225279,NULL,83098470,NULL,11/11/2019,0,1,U
148651503,8279,66985679,NULL,83098470,05/13/2011,11/11/2019,0,1,U
156013734,7291,23194745,NULL,83098737,NULL,12/12/2017,0,1,U
97750209,7291,2989507,NULL,84061803,NULL,06/17/2019,0,1,U
146224879,8279,47694949,NULL,84061803,07/05/2007,06/17/2019,0,1,U
97231375,7291,2268793,NULL,84061804,NULL,06/17/2019,0,1,U
145548828,8279,47695171,NULL,84061804,02/09/2006,06/17/2019,0,1,U
122832868,7291,3787381,NULL,98347635,07/01/2010,11/10/2021,0,1,U
99597648,7291,11056979,NULL,100588838,NULL,05/30/2018,0,1,U
188973511,8279,122637590,NULL,100588838,01/29/2010,05/30/2018,0,1,U
198808397,7291,28757497,NULL,106304223,NULL,05/10/2017,0,1,U
198808281,7291,28757458,NULL,106304226,NULL,10/21/2016,0,1,U
99806225,7291,11349466,NULL,106346103,NULL,12/24/2019,0,1,U
97290232,7291,2342433,NULL,106480133,11/16/2005,02/07/2017,0,0,U
220301032,8279,132489009,NULL,106480133,11/16/2005,02/07/2017,0,1,U
155388109,7291,11584954,NULL,111305435,07/28/2010,10/22/2017,0,0,U
99867786,7291,11455674,NULL,113356245,NULL,07/13/2020,0,1,U
99867768,7291,11455682,NULL,113356246,NULL,07/13/2020,0,1,U
215867694,8279,135490148,NULL,113361216,05/06/2014,11/26/2019,0,1,U
100145366,7291,11859440,NULL,113901457,10/07/2010,10/15/2019,0,0,U
110272563,7291,13745983,NULL,114652440,NULL,08/16/2017,0,1,U
123281982,7291,11921843,NULL,114816705,NULL,03/30/2020,0,1,U
114505876,7291,12755291,NULL,114942110,NULL,06/29/2018,0,1,U
148217517,8279,59387073,NULL,117906239,NULL,07/07/2017,0,1,U
159314557,7291,22206475,NULL,118414796,NULL,10/22/2019,0,1,U
157925685,7291,23338458,NULL,118468251,NULL,12/25/2019,0,1,U
157925661,7291,23338454,NULL,118468265,NULL,12/25/2019,0,1,U
99845859,7291,11413535,NULL,118742201,NULL,10/14/2019,0,1,U
114941348,7291,13782777,NULL,128576328,NULL,06/23/2022,0,1,U
172679646,7291,25578719,NULL,128679488,NULL,03/07/2017,0,1,U
692220526,7291,46490386,NULL,130326397,02/15/2019,03/11/2022,0,0,U
168296454,7291,24371028,NULL,132054863,NULL,08/24/2016,0,1,U
189350287,7866,A116WM,NULL,132219746,05/24/2014,05/11/2022,0,1,U
189350288,8279,108590769,NULL,132219746,05/24/2014,05/11/2022,0,1,U
100828328,7291,13015581,NULL,132509288,05/11/2011,10/15/2021,0,0,U
100772874,7291,12915674,NULL,132513694,NULL,08/25/2020,0,1,U
100772871,7291,12915665,NULL,132513695,NULL,08/25/2020,0,1,U
114872129,7291,13782775,NULL,132898561,NULL,06/23/2022,0,1,U
199324267,7291,28851901,NULL,137137500,NULL,10/08/2020,0,1,U
148758566,7291,13483182,NULL,138668723,NULL,10/18/2019,0,1,U
156278738,7291,13764869,NULL,140148901,NULL,10/30/2019,0,1,U
156278161,7291,13815417,NULL,140448914,NULL,10/30/2019,0,1,U
97215484,7291,2246423,NULL,141204073,08/09/2005,09/20/2021,0,0,U
122835387,7866,A1JKCH,NULL,141332267,NULL,09/10/2021,0,1,U
